ENTERPRISE,CONTACT_NAME,EMAIL,LANG,TEMPLATE_ID,CUSTOM_LINE,SUBJECT,ATTACH_CV,ATTACH_COVER,STATUS,SCHEDULED_SEND_AT,LAST_SENT_AT,NEXT_FOLLOWUP_AT,THREAD_ID
Sermes,Recruitment Team,info@sermescro.com,EN,cro_clinical,I am interested in applying quantitative analysis to clinical trial data.,Application — Clinical data analysis,PauMonterosa.pdf,,SCHEDULED,2026-03-17T14:30:00+00:00,,,
BIOCOM,Research Coordination,biocomsc@ub.edu,EN,lab_pi,I am very interested in computational modelling and data-driven approaches applied to biological systems.,Research collaboration — data analysis,PauMonterosa.pdf,,SCHEDULED,2026-03-18T09:15:00+00:00,,,
Sycai Medical,General Contact,info@sycai.com,EN,company_data,I am interested in applying AI and data analysis to medical imaging datasets.,Application — Data science internship,PauMonterosa.pdf,,SCHEDULED,2026-03-18T14:30:00+00:00,,,
Eurecat,HR Department,info@eurecat.org,EN,company_data,I am interested in applying data science to industrial and biomedical innovation projects.,Application — Data science internship,PauMonterosa.pdf,,SCHEDULED,2026-03-19T09:15:00+00:00,,,
Top Doctors,Recruitment Team,jobs@topdoctors.com,EN,company_data,I am interested in applying data analysis to digital healthcare platforms.,Application — Data analyst internship,PauMonterosa.pdf,,SCHEDULED,2026-03-19T14:30:00+00:00,,,
Docplanner,Recruitment Team,careers@docplanner.com,EN,company_data,I am interested in applying data analysis to digital health platforms.,Application — Data analyst internship,PauMonterosa.pdf,,SCHEDULED,2026-03-24T09:15:00+00:00,,,
Biorce,General Contact,info@biorce.ai,EN,company_data,I am interested in applying machine learning and data analysis to clinical trial datasets.,Application — Data science internship,PauMonterosa.pdf,,SCHEDULED,2026-03-24T14:30:00+00:00,,,
Minoryx,General Contact,info@minoryx.com,EN,company_data,I am interested in applying quantitative analysis to biomedical research datasets.,Application — Data analysis internship,PauMonterosa.pdf,,SCHEDULED,2026-03-25T09:15:00+00:00,,,
SpliceBio,General Contact,info@splicebio.com,EN,company_data,I am interested in applying computational methods to biotechnology datasets.,Application — Data analysis internship,PauMonterosa.pdf,,SCHEDULED,2026-03-25T14:30:00+00:00,,,
Integra Therapeutics,General Contact,info@integratx.com,EN,company_data,I am interested in applying quantitative analysis to genomic datasets.,Application — Data analysis internship,PauMonterosa.pdf,,SCHEDULED,2026-03-26T09:15:00+00:00,,,
GCM,General Contact,info@gcm.gi,EN,company_data,I am interested in applying quantitative analysis and modelling to engineering datasets.,Application — Data analysis internship,PauMonterosa.pdf,,SCHEDULED,2026-03-26T14:30:00+00:00,,,
DRAG'EAU,General Contact,info@drageau.com,EN,company_data,I am interested in applying quantitative modelling to environmental and water-related datasets.,Application — Data analysis internship,PauMonterosa.pdf,,SCHEDULED,2026-03-31T09:15:00+00:00,,,
ABM,General Contact,info@abm.cat,EN,company_data,I am interested in applying quantitative analysis and modelling to engineering and industrial datasets.,Application — Data analysis internship,PauMonterosa.pdf,,SCHEDULED,2026-03-31T14:30:00+00:00,,,
ADDITIU,General Contact,info@additiu.com,EN,company_data,I am interested in applying data analysis to digital analytics and business intelligence.,Application — Data analyst internship,PauMonterosa.pdf,,SCHEDULED,2026-04-01T09:15:00+00:00,,,
ICS,Research Office,info@ics.gencat.cat,CA,lab_pi,M’interessa especialment l’anàlisi de dades clíniques i epidemiològiques.,Col·laboració en anàlisi de dades clíniques,PauMonterosa.pdf,,SCHEDULED,2026-04-01T14:30:00+00:00,,,
